,id,up,site,data-set,marker,name,number
0,02,,1,蔣中正總統文物,-,蔣中正總統文物,329613
1,0201,02,2,蔣中正總統文物/籌筆,-,籌筆,18039
2,020101,0201,3,蔣中正總統文物/籌筆/北伐時期,*,北伐時期,1297
3,020102,0201,3,蔣中正總統文物/籌筆/統一時期,*,統一時期,10818
4,020103,0201,3,蔣中正總統文物/籌筆/抗戰時期,*,抗戰時期,3708
5,020104,0201,3,蔣中正總統文物/籌筆/戡亂時期,*,戡亂時期,2079
6,020105,0201,3,蔣中正總統文物/籌筆/其他,*,其他,36
7,020106,0201,3,蔣中正總統文物/籌筆/題字照片,*,題字照片,101
8,0202,02,2,蔣中正總統文物/革命文獻,-,革命文獻,16401
9,020201,0202,3,蔣中正總統文物/革命文獻/北伐時期,*,北伐時期,2049
10,020202,0202,3,蔣中正總統文物/革命文獻/統一時期,*,統一時期,3390
11,020203,0202,3,蔣中正總統文物/革命文獻/抗戰時期,*,抗戰時期,4504
12,020204,0202,3,蔣中正總統文物/革命文獻/戡亂時期,*,戡亂時期,6458
13,0203,02,2,蔣中正總統文物/蔣氏宗譜,-,蔣氏宗譜,47
14,020301,0203,3,蔣中正總統文物/蔣氏宗譜/蔣氏宗譜,*,蔣氏宗譜,4
15,020302,0203,3,蔣中正總統文物/蔣氏宗譜/武嶺蔣氏宗譜及先序考,*,武嶺蔣氏宗譜及先序考,7
16,020303,0203,3,蔣中正總統文物/蔣氏宗譜/回圖蔣氏宗譜,*,回圖蔣氏宗譜,10
17,020304,0203,3,蔣中正總統文物/蔣氏宗譜/宜興大成蔣氏宗譜,*,宜興大成蔣氏宗譜,10
18,020305,0203,3,蔣中正總統文物/蔣氏宗譜/梅潭蔣氏世譜,*,梅潭蔣氏世譜,14
19,020306,0203,3,蔣中正總統文物/蔣氏宗譜/硤石蔣氏支譜,*,硤石蔣氏支譜,2
20,0204,02,2,蔣中正總統文物/家書,-,家書,1253
21,020401,0204,3,蔣中正總統文物/家書/致宋美齡,*,致宋美齡,605
22,020402,0204,3,蔣中正總統文物/家書/致蔣經國,*,致蔣經國,89
23,020403,0204,3,蔣中正總統文物/家書/致蔣緯國,*,致蔣緯國,106
24,020404,0204,3,蔣中正總統文物/家書/致親友,*,致親友,232
