,id,up,site,data-set,marker,name,number
0,01,,1,臺灣總督府檔案,-,臺灣總督府檔案,12987
1,0101,01,2,臺灣總督府檔案/總督府公文類纂,-,總督府公文類纂,7316
2,010101,0101,3,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案,-,臺灣總督府檔案,7316
3,01010101,010101,4,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案/總督府公文類纂,-,總督府公文類纂,7316
4,0101010101,01010101,5,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案/總督府公文類纂/明治二十八年,-,明治二十八年,65
5,010101010101,0101010101,6,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案/總督府公文類纂/明治二十八年/甲種永久保存,*,甲種永久保存,10
6,010101010102,0101010101,6,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案/總督府公文類纂/明治二十八年/甲種永久保存官房,*,甲種永久保存官房,1
7,010101010103,0101010101,6,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案/總督府公文類纂/明治二十八年/乙種永久保存,*,乙種永久保存,28
8,010101010104,0101010101,6,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案/總督府公文類纂/明治二十八年/乙種永久保存官房,*,乙種永久保存官房,2
9,010101010105,0101010101,6,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案/總督府公文類纂/明治二十八年/乙種永久保存進退,*,乙種永久保存進退,9
10,010101010106,0101010101,6,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案/總督府公文類纂/明治二十八年/永久保存追加,*,永久保存追加,4
11,010101010107,0101010101,6,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案/總督府公文類纂/明治二十八年/十五年保存,*,十五年保存,11
12,0101010102,01010101,5,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案/總督府公文類纂/明治二十九年,-,明治二十九年,83
13,010101010201,0101010102,6,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案/總督府公文類纂/明治二十九年/甲種永久保存,*,甲種永久保存,15
14,010101010202,0101010102,6,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案/總督府公文類纂/明治二十九年/乙種永久保存,*,乙種永久保存,32
15,010101010203,0101010102,6,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案/總督府公文類纂/明治二十九年/永久保存進退,*,永久保存進退,13
16,010101010204,0101010102,6,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案/總督府公文類纂/明治二十九年/永久保存追加,*,永久保存追加,4
17,010101010205,0101010102,6,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案/總督府公文類纂/明治二十九年/永久保存進退追加,*,永久保存進退追加,2
18,010101010206,0101010102,6,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案/總督府公文類纂/明治二十九年/十五年保存,*,十五年保存,16
19,010101010207,0101010102,6,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案/總督府公文類纂/明治二十九年/十五年保存追加,*,十五年保存追加,1
20,0101010103,01010101,5,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案/總督府公文類纂/明治三十年,-,明治三十年,145
21,010101010301,0101010103,6,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案/總督府公文類纂/明治三十年/甲種永久保存,*,甲種永久保存,25
22,010101010302,0101010103,6,臺灣總督府檔案/總督府公文類纂/臺灣總督府檔案/總督府公文類纂/明治三十年/乙種永久保存,*,乙種永久保存,65
