,id,up,site,data-set,marker,name,number
0,003#meeting#M1,,1,,+,臺灣省參議會,4085
1,003#meeting#M2,,1,,+,臺灣省臨時省議會,24424
2,003#meeting#M3,,1,,+,臺灣省議會,336633
3,004#meeting#M1,,1,,+,臺北市議會,74812
4,005#meeting#M1,,1,,+,臺北縣參議會,677
5,005#meeting#M2,,1,,+,臺北縣議會,32848
6,005#meeting#M3,,1,,+,新北市議會,712
7,006#meeting#M1,,1,,+,臺中市參議會,1000
8,006#meeting#M2,,1,,+,臺中市議會,6440
9,007#meeting#M1,,1,,+,臺中縣議會,19457
10,008#meeting#M1,,1,,+,臺南市參議會,433
11,008#meeting#M2,,1,,+,臺南市議會,53274
12,009#meeting#M1,,1,,+,臺南縣參議會,1694
13,009#meeting#M2,,1,,+,臺南縣議會,39661
14,010#meeting#M1,,1,,+,高雄市參議會,64
15,010#meeting#M2,,1,,+,高雄市省轄市議會,47105
16,010#meeting#M3,,1,,+,高雄市臨時市議會,7257
17,010#meeting#M4,,1,,+,高雄市合併前直轄市議會,231554
18,010#meeting#M5,,1,,+,高雄市議會(合),896
19,011#meeting#M1,,1,,+,高雄縣參議會,1199
20,011#meeting#M2,,1,,+,高雄縣議會,47339
21,013#meeting#M1,,1,,+,桃園市議會,23415
22,013#meeting#M2,,1,,+,桃園縣議會,56040
23,012#meeting#M1,,1,,+,基隆市參議會,801
24,012#meeting#M2,,1,,+,基隆市議會,63762
25,014#meeting#M1,,1,,+,新竹市參議會,476
26,014#meeting#M2,,1,,+,新竹縣議會,45137
27,015#meeting#M1,,1,,+,新竹市議會,27058
28,016#meeting#M1,,1,,+,苗栗縣議會,69155
29,017#meeting#M1,,1,,+,彰化縣議會,7457
30,018#meeting#M1,,1,,+,南投縣議會,8935
31,019#meeting#M1,,1,,+,雲林縣議會,58059
32,020#meeting#M1,,1,,+,嘉義市參議會,614
33,020#meeting#M2,,1,,+,嘉義縣議會,4295
34,021#meeting#M1,,1,,+,嘉義市議會,25188
35,022#meeting#M1,,1,,+,屏東市參議會,176
36,023#meeting#M1,,1,,+,宜蘭縣議會,17733
37,024#meeting#M1,,1,,+,花蓮縣參議會,1212
38,024#meeting#M2,,1,,+,花蓮縣議會,74411
39,025#meeting#M1,,1,,+,臺東縣參議會,23
40,025#meeting#M2,,1,,+,臺東縣議會,478
41,026#meeting#M1,,1,,+,澎湖縣參議會,96
42,026#meeting#M2,,1,,+,澎湖縣議會,38605
43,027#meeting#M1,,1,,+,金門縣議會,3834
44,028#meeting#M1,,1,,+,連江縣臨時縣議會,572
45,028#meeting#M2,,1,,+,連江縣議會,7654
46,003#meeting#M101,,2,,+,第一屆,4085
47,003#meeting#M201,,2,,+,第一屆,5876
48,003#meeting#M202,,2,,+,第二屆,10727
49,003#meeting#M203,,2,,+,第三屆,7821
50,003#meeting#M301,,2,,+,第一屆,4456
51,003#meeting#M302,,2,,+,第二屆,16162
52,003#meeting#M303,,2,,+,第三屆,34618
53,003#meeting#M304,,2,,+,第四屆,36639
54,003#meeting#M305,,2,,+,第五屆,42546
55,003#meeting#M306,,2,,+,第六屆,42475
56,003#meeting#M307,,2,,+,第七屆,46471
57,003#meeting#M308,,2,,+,第八屆,42684
58,003#meeting#M309,,2,,+,第九屆,43652
59,003#meeting#M310,,2,,+,第十屆,26930
60,004#meeting#M101,,2,,+,第一屆,7733
61,004#meeting#M102,,2,,+,第二屆,4960
62,004#meeting#M103,,2,,+,第三屆,5265
63,004#meeting#M104,,2,,+,第四屆,4395
64,004#meeting#M105,,2,,+,第五屆,4884
65,004#meeting#M106,,2,,+,第六屆,10232
66,004#meeting#M107,,2,,+,第七屆,18598
67,004#meeting#M108,,2,,+,第八屆,18745
68,005#meeting#M101,,2,,+,成立大會紀錄,1
69,005#meeting#M102,,2,,+,選舉省參議員大會紀錄,1
70,005#meeting#M103,,2,,+,第一屆,675
71,005#meeting#M201,,2,,+,第一屆,761
72,005#meeting#M202,,2,,+,第二屆,1293
73,005#meeting#M203,,2,,+,第三屆,1943
74,005#meeting#M204,,2,,+,第四屆,2353
75,005#meeting#M205,,2,,+,第五屆,1760
76,005#meeting#M206,,2,,+,第六屆,1865
77,005#meeting#M207,,2,,+,第七屆,2062
78,005#meeting#M208,,2,,+,第八屆,2673
79,005#meeting#M209,,2,,+,第九屆,1933
80,005#meeting#M210,,2,,+,第十屆,2716
81,005#meeting#M211,,2,,+,第十一屆,3142
82,005#meeting#M212,,2,,+,第十二屆,2469
83,005#meeting#M213,,2,,+,第十三屆,2473
84,005#meeting#M214,,2,,+,第十四屆,2492
85,005#meeting#M215,,2,,+,第十五屆,2120
86,005#meeting#M216,,2,,+,第十六屆,793
87,005#meeting#M301,,2,,+,第一屆,615
88,005#meeting#M302,,2,,+,第二屆,97
89,006#meeting#M101,,2,,+,第一屆,1000
90,006#meeting#M201,,2,,+,第一屆,381
91,006#meeting#M202,,2,,+,第二屆,420
92,006#meeting#M203,,2,,+,第三屆,595
93,006#meeting#M204,,2,,+,第四屆,425
94,006#meeting#M205,,2,,+,第五屆,337
95,006#meeting#M206,,2,,+,第六屆,282
96,006#meeting#M207,,2,,+,第七屆,299
97,006#meeting#M208,,2,,+,第八屆,294
98,006#meeting#M209,,2,,+,第九屆,421
99,006#meeting#M210,,2,,+,第一十屆,388
100,006#meeting#M211,,2,,+,第一十一屆,322
